ID,Event Name,Event location,"Date (Month Day, Year ""January 17, 2021"")",Submission deadline,Notification deadline,Notes:,Notes,"This appears to be a call to a journal, not to a conference",Notes ,Date
120,Int'l Conf on Wireless Networks,"Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2015"
121,Int'l Conf on Wireless Network,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015"
122,Int'l Conf on e-Learning,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015"
123,Int'l Conf. on AI + Deep Learning,"Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019"
124,Int'l Conf. on AI + Deep Learning,"Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019"
125,Int'l Conf. on Health Informatics and Medical Systems,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015"
126,"Int'l Conf. on Image Processing, Computer Vision, & Pattern Recognition","Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015"
127,"Int'l Conf. on Image Processing, Computer Vision, and Pattern Recognition","Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015"
128,Int'l Conf. on Parallel and Distributed Processing Techniques & Applications,"Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015"
129,Joint International Conference,"Bangkok, Thailand","May 3, 2014","March 28, 2014","April 5, 2014"
130,International Conference on Artificial Intelligence,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015"
131,International Conference on Artificial Intelligence,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015"
132,International Conference on Artificial Intelligence,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015"
133,International Conference on Health Informatics & Medical Systems,"Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015"
136,"Security, IoT, Cloud, CPS Int'l Conferences","Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019"
139,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015"
180,FECS'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
181,ICAI'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
182,ICWN'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
183,PDPTA'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
184,SAM'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
185,SAM'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
186,IPCV'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
187,SERP'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
188,"The 2014 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
189,ABDA'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
190,CSC'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
191,FECS'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
192,IKE'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
193,ABDA'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
194,BIOCOMP'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
195,FECS'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
196,IKE'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
197,CSC'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
198,SERP'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
199,SERP'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
340,8th International Conference on Software Engineering and Applications,"Vienna, Austria","August 24, 2019","July 27, 2019","August 10, 2019"
350,"The Second International Conference on Cyber Security, Cyber Peacefare and Digital Forensic","Kuala Lumpur, Malaysia","March 4, 2013","Feb. 10, 2013","Feb. 15, 2013"
355,The Third International Conference on Digital Information Processing and Communications,"Dubai, UAE","January 30, 2013","January 1, 2013","January 10, 2013"
357,ICEND2014,"Beirut, Lebanon","April 30, 2014","March 30, 2014","April 15, 2014"
358,The Fourth International Conference on Digital Information processing and Communications,"Kuala Lumpur, Malaysia","March 18, 2014","Februrary 18, 2014","March 04, 2014"
401,2019 IEEE International Conference on Big Data (IEEE BigData 2019),"Los Angeles, California, USA","December 10, 2019","August 19, 2019","October 16, 2019"
406,The 14th IEEE International Conference on Machine Learning And Applications (IEEE ICMLA 2015),"Miami, USA","December 9, 2015","July 6, 2015","September 9, 2015"
414,Joint International Conference,"Kuala Lumpur, Malaysia","August 2, 2014","April 22, 2014","May 5, 2014"
200,ICWN'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
201,ICWN'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
203,The International Conference on E-Technologies and Business on the Web,"Bangkok, Thailand","May 7, 2013","March 20, 2013","April 20, 2013"
205,FECS'13,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013"
206,IKE'13,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013"
207,WCIT2014,"Kuala Lumpur, Malaysia","March 18, 2014","February 18, 2014","March 04, 2014"
208,The 15th International Conference on Frontiers in Education,"Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019"
210,"The 2019 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019"
211,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 27, 2017","March 31, 2015","April 24, 2015"
212,"The International Conference on Digital Information Networking, and Wireless Communications ","Ostrava, Czech Republic","June 24, 2014","May 25, 2014","June 05, 2014"
213,The 2014 International Conference on Advances in Big Data Analytics,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014"
214,ICAI'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014"
215,BIOCOMP'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014"
216,FECS'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014"
217,IPCV'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014"
218,ICOMP'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014"
219,PDPTA'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014"
220,SERP'14,"Las Vegas, California, USA",2014-07-21 00:00:00,2014-06-04 00:00:00,2014-06-14 00:00:00
221,ICWN'14,"Las Vegas, California, USA",2014-07-21 00:00:00,2014-06-04 00:00:00,2014-06-14 00:00:00
222,EEE'14,"Las Vegas, California, USA",2014-07-21 00:00:00,2014-06-04 00:00:00,2014-06-14 00:00:00
223,ABDA'14,"Las Vegas, California, USA",2014-07-21 00:00:00,2014-06-05 00:00:00,2014-06-14 00:00:00
224,DMIN'14,"Las Vegas, California, USA",2014-07-21 00:00:00,2014-06-05 00:00:00,2014-06-18 00:00:00
225,PDPTA'14,"Las Vegas, California, USA",2014-07-21 00:00:00,2014-06-05 00:00:00,2014-06-14 00:00:00
226,CSC'14,"Las Vegas, California, USA",2014-07-21 00:00:00,2014-06-05 00:00:00,2014-06-14 00:00:00
227,SAM'14,"Las Vegas, California, USA",2014-07-21 00:00:00,2014-06-05 00:00:00,2014-06-18 00:00:00
228,"The 2014 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, California, USA",2014-07-21 00:00:00,2014-06-05 00:00:00,2014-06-14 00:00:00
229,"The 2014 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, California, USA",2014-07-21 00:00:00,2014-06-05 00:00:00,2014-06-14 00:00:00
233,"CSCI-ISCW: Int'l Symp. on CYBER WARFARE, CYBER DEFENSE, & CYBER SECURITY","Las Vegas, California, USA",2019-12-05 00:00:00,2019-10-06 00:00:00,2019-10-18 00:00:00
234,ABDA'15,"Las Vegas, California, USA",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
235,BIOCOMP'15,"Las Vegas, California, USA",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
236,International Conference on Health Informatics and Medical Systems,"Las Vegas, California, USA",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
237,ICOMP'15,"Las Vegas, California, USA",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
238,ICAI'15,"Las Vegas, California, USA",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
239,BIOENG,"Las Vegas, California, USA",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
240,SAM'15,"Las Vegas, USA",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
241, ICAI'15,"Las Vegas, USA",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
242,International Conference on Health Informatics and Medical Systems,"Las Vegas, USA",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
243,PDPTA'15,"Las Vegas, USA",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
244,"5th Automata, Theory and Applications Workshop","Las Vegas, USA",2013-07-22 00:00:00,2013-03-25 00:00:00,2013-04-23 00:00:00
245,BIOCOMP'13,"Las Vegas, USA",2013-07-22 00:00:00,2013-03-18 00:00:00,2013-04-18 00:00:00
246, ICAI'13,"Las Vegas, USA",2013-07-22 00:00:00,2013-04-20 00:00:00,2013-05-11 00:00:00
247,BIOCOMP'13,"Las Vegas, USA",2013-07-22 00:00:00,2013-04-20 00:00:00,2013-05-11 00:00:00
248,"The 2013 International Conference on Image Processing, Computer Vision, and Pattern Recognition","Las Vegas, USA",2013-07-22 00:00:00,2013-04-20 00:00:00,2013-05-11 00:00:00
249,The 2013 International Conference on Internet Computing and BIG DATA,"Las Vegas, USA",2013-07-22 00:00:00,2013-04-20 00:00:00,2013-05-11 00:00:00
250,PDPTA'13,"Las Vegas, USA",2013-07-22 00:00:00,2013-04-20 00:00:00,2013-05-11 00:00:00
251,ICWN'13,"Las Vegas, USA",2013-07-22 00:00:00,2013-04-20 00:00:00,2013-05-11 00:00:00
252,"The 2013 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA",2013-07-22 00:00:00,2013-04-20 00:00:00,2013-05-11 00:00:00
253,ICAI'14,"Las Vegas, USA",2014-07-21 00:00:00,2014-06-04 00:00:00,2014-06-14 00:00:00
254,IPCV'14,"Las Vegas, USA",2014-07-21 00:00:00,2014-06-04 00:00:00,2014-06-14 00:00:00
255,ICWN'14,"Las Vegas, USA",2014-07-21 00:00:00,2014-06-04 00:00:00,2014-06-14 00:00:00
256,The 2015 International Conference on Security and Management,"Las Vegas, USA",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
257, ICWN'15,"Las Vegas, USA",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
258,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
259,The 2013 International Conference on Security and Management,"Las Vegas, USA",2013-07-22 00:00:00,2013-04-20 00:00:00,2013-05-11 00:00:00
260,The 2013 International Conference on Software Engineering Research and Practice,"Las Vegas, USA",2013-07-22 00:00:00,2013-04-20 00:00:00,2013-05-11 00:00:00
261,The 2013 International Conference on Data Mining,"Las Vegas, USA",2013-07-22 00:00:00,2013-03-18 00:00:00,2013-04-18 00:00:00
262,The 2013 International Conference on Genetic and Evolutionary Methods,"Las Vegas, USA",2013-07-22 00:00:00,2013-03-18 00:00:00,2013-04-18 00:00:00
263,The 2013 International Conference on Grid & Cloud Computing and Applications,"Las Vegas, USA",2013-07-22 00:00:00,2013-03-18 00:00:00,2013-04-18 00:00:00
264,"The 2013 International Conference on Modeling, Simulation and Visualization Methods","Las Vegas, USA",2013-07-22 00:00:00,2013-03-18 00:00:00,2013-04-18 00:00:00
265,The 2013 International Conference on Scientific Computing,"Las Vegas, USA",2013-07-22 00:00:00,2013-03-18 00:00:00,2013-04-18 00:00:00
266,The 2013 International Conference on Software Engineering Research and Practice,"Las Vegas, USA",2013-07-22 00:00:00,2013-03-18 00:00:00,2013-04-18 00:00:00
267,The 2013 International Conference on Software Engineering Research and Practice,"Las Vegas, USA",2013-07-22 00:00:00,2013-03-18 00:00:00,2013-04-18 00:00:00
268,The 2013 International Conference on Software Engineering Research and Practice,"Las Vegas, USA",2013-07-22 00:00:00,2013-03-18 00:00:00,2013-04-18 00:00:00
269,The 2013 International Conference on Wireless Networks,"Las Vegas, USA",2013-07-22 00:00:00,2013-03-18 00:00:00,2013-04-18 00:00:00
270,The 2013 International Conference on Wireless Networks,"Las Vegas, USA",2013-07-22 00:00:00,2013-03-18 00:00:00,2013-04-18 00:00:00
271,"The 2013 International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government","Las Vegas, USA",2013-07-22 00:00:00,2013-03-18 00:00:00,2013-04-18 00:00:00
272,"The 2013 International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government","Las Vegas, USA",2013-07-22 00:00:00,2013-03-18 00:00:00,2013-04-18 00:00:00
273,The 2013 International Conference on Artificial Intelligence,"Las Vegas, USA",2013-07-22 00:00:00,2013-04-06 00:00:00,2013-04-27 00:00:00
274,The 2013 International Conference on Data Mining,"Las Vegas, USA",2013-07-22 00:00:00,2013-03-18 00:00:00,2013-04-18 00:00:00
275,The 2013 International Conference on Frontiers in Education: Computer Science and Computer Engineering,"Las Vegas, USA",2013-07-22 00:00:00,2013-04-20 00:00:00,2013-05-11 00:00:00
276,The 2013 International Conference on Frontiers in Education: Computer Science and Computer Engineering,"Las Vegas, USA",2013-07-22 00:00:00,2013-03-18 00:00:00,2013-04-18 00:00:00
277,The 2013 International Conference on Frontiers in Education: Computer Science and Computer Engineering,"Las Vegas, USA",2013-07-22 00:00:00,2013-04-06 00:00:00,2013-04-27 00:00:00
278,"The 2013 International Conference on Image Processing, Computer Vision, and Pattern Recognition","Las Vegas, USA",2013-07-22 00:00:00,2013-04-06 00:00:00,2013-04-27 00:00:00
279,The 2013 International Conference on Software Engineering Research and Practice,"Las Vegas, USA",2013-07-22 00:00:00,2013-04-06 00:00:00,2013-04-27 00:00:00
21,5th International Conference on Education Science and Development (ICESD 2020) ,"Bangkok, Thailand",2020-01-06 00:00:00,2019-08-28 00:00:00,notif deadline says: 1 week after submitting manuscript
25,2015 International Conference on Intelligent Computing and Internet of Things (ICICIT 2015) ,Harbin,2015-01-17 00:00:00,2014-12-10 00:00:00,2014-12-20 00:00:00
26,19th IEEE International Symposium on Signal Processing and Information Technology (ISSPIT 2019).,Ajman,2019-12-10 00:00:00,2019-09-30 00:00:00,2019-10-30 00:00:00
27,The Third International Conference on Digital Information Processing and Communications(ICDIPC2013),"Dubai, UAE ",2013-01-30 00:00:00,2013-12-15 00:00:00,2013-01-01 00:00:00,It actually put 12/15/2013 under submission deadline
28,The Third International Conference on Digital Information Processing and Communications(ICDIPC2013),"Dubai, UAE ",2013-01-30 00:00:00,2013-12-15 00:00:00,2013-01-01 00:00:00,copy of email 27 sent later
29,The Third International Conference on Digital Information Processing and Communications(ICDIPC2013),"Dubai, UAE ",2013-01-30 00:00:00,2013-12-15 00:00:00,2013-01-01 00:00:00,copy of email 27 sent later
30,"The 2019 World Congress in Computer Science, Computer Engineering, and Applied Computing (CSCE'19: USA)","Las Vegas, USA",2019-07-29 00:00:00,2019-06-20 00:00:00,2019-06-27 00:00:00
31,The International Conference on E-Learning and E-Technologies in Education (ICEEE),"Lodz, Poland",2012-09-24 00:00:00,2012-08-10 00:00:00,2012-08-25 00:00:00
32,The International Conference on Informatics & Applications (ICIA2012),"Kuala Terengganu, Malaysia",2012-07-03 00:00:00,2012-04-05 00:00:00,2012-05-02 00:00:00
34,The Second International Conference on Digital Information and Communication Technology and its Applications (DICTAP2012),"Bangkok, Thailand",2012-05-16 00:00:00,2012-03-10 00:00:00,2012-04-01 00:00:00
35,The World Congress on E-commerce and Business on the Web (WCEBW2012),"London, United Kingdom",2012-08-27 00:00:00,2012-07-10 00:00:00,2012-08-10 00:00:00
36,The Second International Conference on Digital Information and Communication Technology and its Applications (DICTAP2012),"Bangkok, Thailand",2012-05-16 00:00:00,2012-03-10 00:00:00,2012-04-01 00:00:00,copy of email 34 sent later
37,The 10th IEEE Annual Computing and Communication Workshop and Conference (IEEE CCWC 2020),"Las Vegas, USA",2020-01-06 00:00:00,2020-10-31 00:00:00,2020-11-30 00:00:00
38,"The IEEE 10th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (IEEE UEMCON 2019)","New York, USA",2019-10-10 00:00:00,2019-08-07 00:00:00,2019-09-05 00:00:00
39,7th International Conference on Signal Processing and Integrated Networks (SPIN 2020),"Delhi/NCR, India",2020-02-27 00:00:00,2019-11-11 00:00:00,2019-12-09 00:00:00
367,CFP: ICIA2012,"University Sultan Zainal Abidin, Kuala Terengganu, Malaysia","June 3, 2012","April 15, 2012","April 30, 2012"
368,CFP - ICIA2012,"University Sultan Zainal Abidin, Kuala Terengganu, Malaysia","June 3, 2012","April 30, 2012","May 10, 2012"
369,EBW2013,"University of the Thai Chamber of Commerce, Bangkok, Thailand","May 7, 2013","March 30, 2013","April 20, 2013"
370,TAEECE 2013,"Mevlana University, Konya, Turkey ","May 9, 2013","March 28, 2013","April 20, 2013"
371,ICIEIS2014,"Lodz University of Technology, Lodz, Poland","September 22, 2014","August 25, 2014","September 05, 2014"
372,The Third International Conference on e-Technologies and Networks for Development (ICeND2014),"Lebanese University, Campus of Hadath, Beirut- Lebanon","April 29, 2014","March 15, 2014","April 15, 2014"
377,Computing Conference 2020,"London, UK","July 16, 2020","October 15, 2019","November 15, 2019"
378,Computing Conference 2020,"London, UK","July 16, 2020","October 15, 2019","November 15, 2019"
40,7th International Conference on Signal Processing and Integrated Networks,"Delhi/NCR, India",2020-02-27 00:00:00,2019-11-11 00:00:00,2019-12-09 00:00:00
41,7th International Conference on Signal Processing and Integrated Networks (SPIN 2020),"Noida- Delhi NCR, India",2020-02-27 00:00:00,2019-11-11 00:00:00,2019-12-09 00:00:00
42,7th International Conference on Signal Processing and Integrated Networks (SPIN 2020),"Noida- Delhi NCR, India",2020-02-27 00:00:00,2019-12-16 00:00:00,2019-12-26 00:00:00
43,The Fourth International Conference on Digital Information and Communication Technology and its Applications (DICTAP 2014),"Bangkok, Thailand",2014-05-06 00:00:00,2014-04-06 00:00:00,2014-04-15 00:00:00
46,The Second International Conference on Digital Enterprise and Information Systems (DEIS 2013),"Kuala Lumpur, Malaysia",2013-03-04 00:00:00,2012-12-15 00:00:00,2013-01-01 00:00:00
47,The Second International Conference on Digital Enterprise and Information Systems (DEIS 2013),"Kuala Lumpur, Malaysia",2013-03-04 00:00:00,2012-12-15 00:00:00,2013-01-01 00:00:00
49,The International Conference on E-Technologies and Business on the Web (EBW2013),"Bangkok, Thailand",2013-05-07 00:00:00,2013-03-20 00:00:00,2013-04-20 00:00:00
50,E-Technologies and Business on the Web (EBW2013),"Bangkok, Thailand",2013-05-07 00:00:00,2013-03-20 00:00:00,2013-04-20 00:00:00
51,The International Conference on Computing Technology and Information Management (ICCTIM2014),"Dubai, UAE",2014-04-10 00:00:00,2014-03-10 00:00:00,2014-03-20 00:00:00
55,"The International Conference on Computing, Networking and Digital Technologies(ICCNDT 2012)",Bahrain,2012-11-11 00:00:00,2012-09-25 00:00:00,2012-10-10 00:00:00
57,The 2019 International Conference on Computational Science and Computational Intelligence (CSCI),"Las Vegas, USA",2019-12-05 00:00:00,2019-10-06 00:00:00,2019-10-18 00:00:00
58,"The International Conference on Cyber Security, Cyber Warfare and Digital Forensic (CyberSec2012)","Kuala Lumpur, Malaysia",2012-06-26 00:00:00,2012-04-30 00:00:00,2012-05-15 00:00:00
59,The Second International Conference on E-Technologies and Business on the Web (EBW2014),"Kuala Lumpur, Malaysia",2014-03-18 00:00:00,2014-02-18 00:00:00,2014-03-04 00:00:00
100,"The 2015 International Conference on Foundations
                      of Computer Science","Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
101,The 2015 International Conference on Frontiers in Education: Computer Science and Computer Engineering,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
102,The 2015 International Conference on Grid & Cloud Computing and Applications,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
103,The 2015 International Conference on Health Informatics and Medical Systems,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-06-14 00:00:00
104,The 2015 International Conference on Health Informatics and Medical Systems,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-06-14 00:00:00
105,The 2015 International Conference on Health Informatics and Medical Systems,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
106,"The 2015 International Conference on Image Processing, Computer Vision, and Pattern Recognition","Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-06-14 00:00:00
107,"The 2015 International Conference on Image Processing,  Computer Vision, and Pattern Recognition","Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
108,"The 2015 International Conference on Image Processing, Computer Vision, and Pattern Recognition","Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
109,The 2015 International Conference on Information and Knowledge Engineering,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
110,"The 2015 International Conference on Internet Computing and Big Data
","Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
111,"The 2015 International Conference on Modeling, Simulation and Visualization Methods","Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
112,The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
113,"The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications
","Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00
